Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Strong Neighborhoods,Cost of Living,"Rent, utilities, electricity, food, gas, bus far and more thing are very expensive which we can not afford to live in Seattle. ",Khmer community,03/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,"rising cost of living expenses: groceries, rent, and electricity",Youth Care Group B,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Counseling,Bilingual family Counseling. ,Somali community,04/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Counseling,Sex education and counseling,Latino community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Cultural Competency,CPS needs to be culturally competent & ensure child's stability (Keep childcare setting stable; try to keep child in same community),Early Childhood Education Group,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Cultural Competency,Lack of culturally appropriate mediators for domestic violence cases & family affairs,19,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Cultural Space,"connect families to their culture (foods, activities, community involvement) to teach values, increase support and decrease need for other community services to even be needed. Cultural centers and programs",United Indians Family Support Workers,04/19/2010 07:00:00 AM +0000
Strong Neighborhoods,Cultural Space,Need multicultural/ethnic centers,"Northwest community, group A",05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Cultural Space,World Class African-American Museum,7,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Early intervention,programs and services start too late,A+ Group A,05/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Disparities,Cost of living (equal access to living wage jobs/affordable housing north vs. south inequality),Seattle Public Schools,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,"Address the socio-economic gap around access to food, home and activities",11,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,"Create, grow economic systems that allow community and family to flourish speaking the voice of the community, educate and empower communities to be successful themselves and accountable to themselves",Emerald City Bible Fellowship,05/01/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,Economic issues,2,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,Economic security and opportunity.,Web,
Strong Neighborhoods,Economic Security,"Economy-poverty, low wages, lack of funding for school/ social/ health services",5,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,Poverty,12,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,Poverty,8,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Economic Security,"Poverty, need more jobs, more resources for families, education and kids, misallocation of funds.",6,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Economic Security,Sale Tax is very high. Our income is very low but everything is very expensive. There is no match with income and expense.,Khmer community,03/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Elder Care,"by focusing on children and families, do not forget to include our senior citizens and working aged adults.  they are part of our community too and have needs/issues that may not be addressed in the categories listed above.",Web,
Strong Neighborhoods,Empowerment,Lack of empowering support for most vulnerable in community,15,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,"Better clean up crews in the city and neighborhoods, improve health and environment of public",Students Against Violence Everywhere Group A,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,Environment,20,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,environment,Aki Kurose Students- Van Asselt Community,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,Environment,Penny Harvest -- Central Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,Environment:  litter and trash in neighborhoods/parks,23,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,"More open spaces, including the reservoir",Roosevelt Neighborhood Assc.,03/23/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Involvement,"1. We want our children and families to have access to information about all the programs/services/opportunities available to them, and we want these opportunities to be fully funded so that there is room for everyone who wants to participate.",Web,
Strong Neighborhoods,Family Involvement,Caregivers not being involved,13,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Involvement,Parent Education:  need parent involvement; have to be able to trust person coming to your home; need to be culturally relevant; parenting guide for all ages,3,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Family Involvement,"Parenting training, more support for parents to be successful",Seattle Central Community College Group B,05/10/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Spaces,More youth and family facilities.,Somali community,04/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"Need for wrap-around support and services for families and children to support:   children’s academic achievement and readiness; family/parent stability and involvement in their children’s education; and health and safety.  This includes strategies for limited English, bilingual and bicultural families; services need by youth who are not succeeding.",8,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Family Support, It is too hard for parents to discipline their kids.,Tigrinya-speaking community,04/23/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"1. Stable families, healthy, inclusive schools with strong support for teachers & family participation. For kids, safe schools, and high quality education.",Web,
Strong Neighborhoods,Family Support,"1. Youth don't obey their parents
",Laotian and Hmong communities,03/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"2. Our community should support families to provide the best for their children so the children are ready to learn when they come to school, at every age.",Web,
Strong Neighborhoods,Family Support,2. Parents aren't wealthy enough to support youth--money issues,Laotian and Hmong communities,03/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,3. Laws against parents disciplining youths or significant other,Laotian and Hmong communities,03/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,4. Youths' knowledge of American culture causes them to rebel against their parents' culture,Laotian and Hmong communities,03/27/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Communication problem between families and their children due to language barrier and educational difference.,Amharic-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,education life skills and parenting classes to increase self sufficiency and success in life-- must be accessible to parents(free childcare provided etc),United Indians Family Support Workers,04/19/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"Family life: Parents need support, especially in regards to language and cultural barriers and their careers. Families facing drug abuse need support.",13,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Family problems,12,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Family Problems,Tigrinya-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Family Support,12,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Fund family support worker program.,14,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Family Support,Gap between adults and children,9,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Help for immigrant families and children left behind,Denise Louie Group B,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"It's hard to find a job, Mom should stay home and take care of her children.",Somali community,04/16/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Lack of community based/oriented resources for parents,2,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Lack of family stabilization services (they are being cut),4,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Family Support,Lack of knowledge on how to raise children in American culture.,Amharic-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"Lack of public resources to support families, lack of knowledge of available resources",Emerald City Bible Fellowship,05/01/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Lack of self esteem or value of self in families,Black Star Line,03/21/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Lack of support for families,15,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,"Lack of support for families(homelessness, prevention services, cutbacks to critical services, subsidies and public supports)",School's Out Washington Group B,04/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Language is one issue between parents and youth.,Tigrinya-speaking community,04/23/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Latino parent skills building trainings and capacity building,Latino community,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Limited money for family resources/ family centers,7,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Marital problems- conflict between parents,Amharic-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,More parenting support for parents- more support in keeping families together.,16,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,more/continuous education for parents and students on non-violent communication and conflict resolution,"Northwest community, group B",05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,not enough resources for students and parents with special needs (including English Language Learners and Special Ed.),The Vera Project -- Group B,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Parenting classes & family counseling,15,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Family Support,Parenting Skills: teaching parents skills (coping skills); early age parenting skills,8,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Family Support,Parents not encouraging children to pursue their career interest ,Amharic-speaking community,04/29/2010 07:00:00 AM +0000
